Study L1 cache size Cortex A15 -- blowfish
CL1_size;nb_cycles;IPC;CPI;IL1_mr;DL1_mr;UL2_mr;bpred_dir_pr;ifq_rate;ifq_full;RUU_rate;RUU_full;LSQ_rate;LSQ_full
16;1843916;1.3629;0.7337;0.0560;0.1740;0.0046;0.9211;1.4523;0.0599;1.4523;0.1344;1.4523;0.0000
32;1213034;2.0717;0.4827;0.0086;0.0330;0.0258;0.9196;2.2076;0.4387;2.2076;0.5888;2.2076;0.0000
64;1113713;2.2564;0.4432;0.0019;0.0059;0.1209;0.9212;2.4087;0.5315;2.4087;0.6734;2.4087;0.0000
128;1092066;2.3012;0.4346;0.0002;0.0029;0.3939;0.9196;2.4610;0.5573;2.4610;0.6954;2.4610;0.0000
256;1090666;2.3041;0.4340;0.0002;0.0021;0.5464;0.9196;2.4640;0.5573;2.4640;0.6953;2.4640;0.0000
Study L1 cache size Cortex A15 -- dijkstra
CL1_size;nb_cycles;IPC;CPI;IL1_mr;DL1_mr;UL2_mr;bpred_dir_pr;ifq_rate;ifq_full;RUU_rate;RUU_full;LSQ_rate;LSQ_full
16;48492684;1.1318;0.8836;0.0149;0.0424;0.0009;0.8324;1.4480;0.4111;1.4480;0.5552;1.4480;0.0000
32;46043709;1.1919;0.8390;0.0107;0.0193;0.0016;0.8256;1.5432;0.4101;1.5432;0.5641;1.5432;0.0000
64;42406836;1.2942;0.7727;0.0046;0.0073;0.0038;0.8286;1.6677;0.4347;1.6677;0.6078;1.6677;0.0000
128;41260242;1.3301;0.7518;0.0019;0.0047;0.0081;0.8241;1.7243;0.4445;1.7243;0.6273;1.7243;0.0000
256;40298065;1.3619;0.7343;0.0000;0.0023;0.0408;0.8236;1.7638;0.4562;1.7638;0.6457;1.7638;0.0000
